Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Somalia,2013,2nd,116.3,High Alert,9.7,10,9.3,9.4,8.4,8.9,9.5,9.8,10,9.5,10,9.4,6.6,-4.2,-6.2,-5.7,1.9,-1.4
Chad,2013,10th,111.5,High Alert,9.4,9.5,8.8,8,8.9,8,9.7,9.9,9.8,9.5,9.7,7.9,6.3,-3.9,-3.9,-5.3,3.2,-1.5
Sudan,2013,1st,111.3,High Alert,9.8,10,10,7.8,8.5,8.4,9.6,8.8,9.3,8.8,10,10,4.7,-9.3,-1.5,-6.5,4.9,-2.5
South Sudan,2013,6th,111.1,High Alert,9.6,9.8,10,8.6,8.9,6.5,9.1,9.8,9.3,8.9,10,10,5.1,-4.5,-3.8,-5.6,4.5,-2.7
Congo Democratic Republic,2013,3rd,110.9,High Alert,10,9.5,9.4,8.5,8.8,7.1,9.6,9.5,9.8,10,10,9.7,6.4,-7.4,-4.2,-6,2.1,-0.9
Central African Republic,2013,29th,108,Alert,9.7,9.1,8.5,7.7,9.2,6.1,9,9.5,8.6,8.6,9.8,9.4,5.1,-2.3,-2.5,-5.1,4.1,0
Afghanistan,2013,5th,105.6,Alert,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10,5.2,-6.4,-5,-6.4,4.9,-2.8
Yemen,2013,8th,103.9,Alert,9.8,9.5,9,9.2,8.1,7.4,9.3,8.7,8.7,9.3,9.2,8.7,4.3,-7.3,-3,-6.6,5.8,0
Haiti,2013,13th,102.2,Alert,7.9,9,7,9.7,9.1,9.1,8.8,9.6,7.6,9.6,8.6,9.9,3.1,-6.8,-5.2,-6.5,4,-0.4
Nigeria,2013,30th,101.9,Alert,9.5,9.4,9.8,7.5,9.2,7.3,8.8,9.3,8.6,8.5,6.6,6.3,5.7,-4.6,-1.3,-5.3,5.1,-0.7
Iraq,2013,7th,101.7,Alert,10,9.6,10,7.3,8.4,8.3,8.6,7.6,8.6,8.3,8.8,8.5,4.5,-6.8,-3.6,-7.2,7.5,-2.5
Cote d Ivoire,2013,12th,100.6,Alert,9.1,9.4,9,7.7,7.8,7.3,9.3,8.5,8.6,7.8,9.3,9.7,5.1,-8,-3.9,-5.3,5.4,-1
Guinea,2013,17th,100.2,Alert,9.1,8.9,7.6,9.2,8.2,7.7,9.8,8.9,8.4,8.4,8.2,7,5.1,-6.3,-5.5,-5.9,5.4,0
Zimbabwe,2013,4th,99.7,Alert,8.4,9.7,8.4,8.6,8.6,8.6,9.2,9.1,8.9,9.2,8.7,7.8,4,-9.5,-4.5,-5.9,5.4,-3.2
Niger,2013,19th,99.7,Alert,8.3,8.9,7.8,8.4,7.9,6.3,8.1,9.5,7.6,9.8,7.9,8.5,7.4,-6.7,-3.9,-6,3.5,-1.3
Pakistan,2013,9th,99.5,Alert,9.8,9.2,9.7,7.5,7.9,6.9,8.4,7.3,8.7,8.9,9.1,9.6,3.7,-7.2,-2,-6.7,8.6,-2.1
Guinea Bissau,2013,16th,97.2,Alert,9.5,9.7,5.7,8.7,8.1,8,9.7,8.8,7.6,8.4,7.8,9,4.9,-8.7,-2.7,-5.8,5.2,-1.4
Syria,2013,33rd,96.4,Alert,9.8,9.2,9.3,6.4,7.2,6.2,9.6,7,9.5,5.6,9.5,8.1,3.1,-4.1,0,-7.7,9.4,-1.2
Ethiopia,2013,24th,96.3,Alert,8.4,8.7,8.6,7.7,7.6,6.7,7.3,8.7,8.7,9.7,8.7,8.1,4.6,-7.2,-2.9,-6.6,2.7,-2.8
