Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Central African Republic,2015,1st,109.4,Alert,9.8,10,9.6,8.3,9.7,6.9,9.5,9.9,10,8.4,10,9.8,4.9,-9.9,-1.3,-0.3,4.1,0
South Sudan,2015,2nd,107.4,Alert,10,10,10,9,8.8,6.9,10,10,10,9.8,10,10,4.9,-10,-2.6,-1.5,4.8,-2.7
Somalia,2015,3rd,107.4,Alert,9.7,10,9.5,9.1,9,9.2,9.3,9.3,10,9.6,9.8,9.5,6.4,-9.2,-2.8,-1.6,2,-1.4
Yemen,2015,4th,105.7,Alert,10,9.4,9.4,9.3,8.1,7.5,9.3,8.2,9.1,9.2,9.1,9.5,4.1,-8,-0.7,-4.1,6.3,0
Sudan,2015,5th,105,Alert,9.5,9.8,9.7,8.6,7.9,8.8,9.6,8.8,9.6,8.7,10,9.8,4.6,-8.6,0,-3.9,5.2,-3.1
Chad,2015,6th,104.5,Alert,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10,8.3,6.1,-9.7,-1.5,-0.5,3.2,-1.5
Congo Democratic Republic,2015,7th,103.3,Alert,9.5,9.5,9.5,7.9,8.8,7.1,9,9.7,10,9.5,9.4,9.8,6.2,-9.7,-1.6,-2.5,2.1,-0.9
Nigeria,2015,8th,103.3,Alert,9.9,9.8,9.9,7.6,8.8,7.1,9.1,9.1,8.8,8.8,7.5,6,5.6,-9,0,-0.5,5.4,-0.6
Syria,2015,9th,101.4,Alert,10,9.9,10,7.5,7,7.4,9.9,8.2,10,8.1,10,9.9,3,-8,-2.6,-7.1,9.4,-1.2
Pakistan,2015,10th,100.7,Alert,9.6,9.2,10,7.7,7.3,7,8.6,7.9,8.4,9,8.9,9.3,3.6,-7.6,-0.4,-4.4,8.7,-2.1
Afghanistan,2015,11th,100.3,Alert,10,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8,4.8,-9.2,-2.1,-3.6,5.3,-2.8
Iraq,2015,12th,99.4,Alert,10,9.6,10,6.9,7.8,8.1,9.2,7.5,8.9,8.2,8.9,9.4,4.4,-7.2,-1.7,-5.7,7.8,-2.7
Guinea,2015,13th,98.8,Alert,8.9,9.6,8.7,9.2,7.6,7.2,9.9,9.8,8.2,9,8.7,8.1,4.9,-9.8,-2.2,-2.3,5.5,-2.2
Cote d Ivoire,2015,14th,98.6,Alert,8.3,9.1,8.7,7.1,7.9,6.7,8.5,9,7.9,8.1,9,9.7,5,-8.9,-1.3,-0.7,5.4,-0.9
Guinea Bissau,2015,15th,96.3,Alert,8.8,9.6,5.7,8.7,8.4,8.5,9,9.2,7.2,8.2,7.8,8.8,4.7,-9.1,-1.3,-1.9,5.4,-1.4
Haiti,2015,16th,96.1,Alert,7.5,9.1,6.7,9.1,9.3,9.3,9.4,9.1,7.4,9.5,8.2,9.9,3,-9,-2.2,-3.8,4,-0.4
Burundi,2015,17th,94.3,High Warning,7.7,7.9,8,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9,8.4,5.8,-8.1,-1.1,-2,5.2,-3.6
Niger,2015,18th,94.1,High Warning,8.7,8.9,7.5,8.2,8.4,6.9,7.5,9.3,6.8,9.6,7.9,8.1,7.3,-9.2,-1.6,-2.5,3.6,-1.3
Zimbabwe,2015,19th,93.3,High Warning,7.9,9.7,7.8,8,8.1,8,9,8.5,8.3,8.7,8.4,7.6,3.8,-8.3,-1.5,-2.9,5.4,-3.2
Mali,2015,20th,92.8,High Warning,8.7,4.9,7.6,8.2,7.4,8.4,6,9,6.7,9.1,7.8,9.3,6.1,-8.9,-1.1,-1.8,6.3,-0.9
Egypt,2015,21st,91.5,High Warning,8.2,9,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1,3.3,-4.8,-0.6,-6.2,9.8,0
Kenya,2015,22nd,90.9,High Warning,8.4,8.9,9,7.5,8.3,7.5,8.1,7.9,6.5,9,8.3,8,3.9,-7.6,-0.9,-4.9,5,-2
Uganda,2015,23rd,90.5,High Warning,7.6,8.9,8.7,7,7.3,7.3,8,8.3,7.9,8.9,8.8,8.3,5.7,-8.1,-1,-2.8,3.2,-3.5
Liberia,2015,24th,88.8,High Warning,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10,4.7,-9.7,-5.3,-3.1,6,-1.1
Sierra Leone,2015,25th,88.8,High Warning,4.8,7.7,6.2,8.7,8.8,8.4,6.9,9.3,5.6,9.5,8.2,7.8,4.6,-9.2,-2,0,4.7,-1.2
Cameroon,2015,26th,88.7,High Warning,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8,8,7.8,7,4.8,-8.6,-1.1,-1.9,4.3,-3.1
Sri Lanka,2015,27th,87.8,High Warning,7.9,9.1,9.3,5.9,7.6,7.8,8,5.6,8.8,6,8.2,6.4,2.1,-5,-1,-7.5,9.1,-0.5
Myanmar,2015,28th,87.5,High Warning,8.3,8.3,9.7,6.5,8.2,5.7,9,8.6,8.3,6.8,8.3,7,2.2,-8.4,-0.9,-4.8,6,-1.3
Ethiopia,2015,29th,87.1,High Warning,8.4,8.6,8.5,6.9,7.1,7,7.4,8.6,8.5,9.2,9.4,7.9,4.3,-8.4,-1.1,-4.3,3,-3.9
Bangladesh,2015,30th,86.7,High Warning,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7,2.1,-7.8,-0.8,-6.3,9.7,-2
North Korea,2015,31st,85.8,High Warning,8.6,8.5,6.3,9,8,4.2,10,8.9,9.7,7.5,4.3,8.8,2,-8.8,-2.7,-6.2,9.4,-1.7
Mauritania,2015,32nd,85.8,High Warning,7.4,8.8,6.9,8,7.1,6.3,7.9,8.9,8,8.6,8.5,8.5,4.7,-8.8,-3.4,-3.6,4.5,-2.5
Iran,2015,33rd,85.6,High Warning,8,9.4,8.5,6.9,6.1,6.2,8.9,5,9.3,5.4,6.5,7,1.7,-4.3,-0.5,-7.1,8.9,-0.3
Gambia,2015,34th,85.3,High Warning,6,6.8,3.7,7.8,7.2,7.7,7.8,7.7,8.6,8.2,6.4,7.5,5.5,-7.4,-1.2,-2.9,6.8,-0.9
Burkina Faso,2015,35th,85.2,High Warning,7.4,7.8,5,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5,5.4,-8.8,-1.6,-2.4,4.3,-0.9
Eritrea,2015,36th,84.9,High Warning,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2,4.2,-8.5,-1.9,-4.2,0.6,-2.2
Nepal,2015,37th,84.4,High Warning,7,8.3,9.1,6.8,7.5,7,7.1,7.1,7.7,7.9,7.6,7.4,2.2,-6.7,-1.7,-5.6,8.7,-3
Malawi,2015,38th,83.4,High Warning,4.8,7.7,5.4,8.6,8.4,8.1,6.9,7.8,6.2,8.8,6.1,8.1,4.6,-7.5,-1.4,-3.8,6.3,-1.7
Swaziland,2015,39th,83.1,High Warning,6,6.8,3.7,9.3,8.1,6.9,8.5,7.5,8.5,8.5,4.9,7.6,3.1,-7.2,-2.1,-2.4,6,-0.6
Comoros,2015,40th,82,High Warning,7.2,7.5,5,8,7,7.8,6.8,8,6.1,7.6,4.5,7.8,4.4,-7.7,-1.9,-3.8,8,-0.3
Djibouti,2015,41st,81.4,High Warning,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4,2.9,-7.5,-2.9,-3.4,5.5,-1.3
Philippines,2015,42nd,81.2,High Warning,9.1,8,8.3,6,6.2,6.2,7.5,7.2,5.9,8.2,7.4,6.3,3,-6.8,-1.3,-5.9,8.6,-2.7
Congo Republic,2015,43rd,80.9,High Warning,6.7,6.7,6.6,6.4,8.2,6.8,8.7,9.1,7.9,7.8,8.3,7.6,4.7,-9,-4.7,-3.9,3.7,-0.7
Timor-Leste,2015,44th,80.8,High Warning,7.7,8.3,6.5,8.4,6.7,7,7.4,8.4,5.8,8.9,6.8,8.7,5.6,-8.2,-4,-5.3,6,-3.9
Zambia,2015,45th,80.6,High Warning,5,5.7,5.7,7.7,8.6,7.8,7.4,7.6,6.8,9.4,6.9,6.6,5,-7.3,-2,-3.4,4.4,-1.3
Togo,2015,46th,80,High Warning,7,7.6,4.5,6.8,8.1,7.3,8.1,8.6,7.2,8,7.1,6.5,4.5,-8.4,-3.1,-2.5,4.5,-1.8
Solomon Islands,2015,47th,79.8,Elevated Warning,6.4,8.2,6.5,7.6,8.9,6.3,7.3,7.6,5.7,8.5,4.9,8,3.9,-7.3,-2.4,-5.7,5.6,-0.2
Cambodia,2015,48th,79.7,Elevated Warning,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7,5.8,7.4,2.6,-7.4,-3.1,-5.3,7,-2
Equatorial Guinea,2015,49th,79.7,Elevated Warning,7,8.2,6.3,5.2,9,6,9.8,7.1,9.7,7.7,3.3,5.5,4.8,-6.7,-1.9,-2,3.1,-2.4
Rwanda,2015,50th,79.6,Elevated Warning,6.2,8,8.8,6.3,8.2,7.5,6.5,7.3,7.7,8,7.9,7.8,4,-6.9,-1.4,-4.8,4.9,-6.4
Libya,2015,51st,78.8,Elevated Warning,9.3,9.1,7.8,8,6.1,6.4,9.8,7.5,9,5.4,7.4,9.5,2.3,-7.2,-3.5,-6.5,0,-1.6
Angola,2015,52nd,78.8,Elevated Warning,6,7.2,7.3,5.6,9.6,6,8.3,8.9,7.3,8.7,7.6,5.6,5.8,-8.8,-1.4,-3.5,2.3,-3.7
Tajikistan,2015,53rd,78.4,Elevated Warning,6.8,8.4,7.3,7.4,5.6,6.3,9.1,5.9,7.6,7.8,4.8,6.4,3.4,-5.3,-1.7,-6.3,6.8,-1.9
