Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Sudan,2012,1st,141.9,Alert,9.7,9.9,10,7.3,8.8,8.3,9.5,8.5,9.4,8.4,9.9,9.5,4.8,9.1,0.9,3.8,9.9,4.4
Somalia,2012,2nd,141.5,Alert,10,9.8,9.6,9.7,8.1,8.6,9.9,9.8,9.9,9.8,10,9.8,6.7,2.4,3.5,1.5,10,2.5
Afghanistan,2012,3rd,137.4,Alert,9.7,9.4,9.4,7.7,8.1,7.4,9.5,8.5,8.5,8.9,9,10,5.4,5.7,2.2,3.3,9.7,4.9
Zimbabwe,2012,4th,137.1,Alert,8.7,9.8,8.7,8.9,8.9,9,9.4,9.1,8.9,9,8.4,7.5,4,9.5,2.7,1.9,10,2.7
South Sudan,2012,5th,136.7,Alert,9.7,10,10,7.3,8.8,6.4,9.1,9.5,9.2,8.4,9.9,10,5.2,4.7,2.6,1.4,9.9,4.7
Timor-Leste,2012,6th,135.1,Alert,8.3,8.3,6.8,8,7,6.1,8.5,8.4,6.3,8.4,7.7,8.9,6,7.9,7.2,4.9,9.6,6.8
Iraq,2012,7th,134.5,High Warning,9.9,9.6,9.7,7.7,8.7,8.6,8.4,7.8,8.3,8,8.5,9,4.5,6,1.7,5.4,8.2,4.5
Congo Democratic Republic,2012,8th,134.3,High Warning,9.7,9.5,9.3,8.8,8.9,7.4,9.5,9.2,9.7,9.9,9.7,9.6,6.4,6.8,2.2,2.3,3.7,1.6
Burundi,2012,9th,131.3,High Warning,7.4,7.9,8,8.8,7.9,5.9,8.3,8.5,8.1,8.8,8.9,9,6.1,9.6,2.1,1.9,8.7,5.4
Cote d Ivoire,2012,10th,131.2,High Warning,8.9,9.9,9,7.4,7.7,7.6,9.6,8.3,8.3,7.9,9,10,5.2,7.7,2.5,0.6,9.6,1.8
Yemen,2012,11th,131.1,High Warning,9.7,9.8,9,8.7,8.4,7,9.1,9,8.4,8.8,8.7,8.3,4.4,5.7,2.1,3.9,10,0.1
Haiti,2012,12th,131,High Warning,8.2,9,7,9.5,8.6,8.8,9.3,9.3,7.7,9.5,8.1,9.7,3.2,5.7,3,3.6,10,0.7
Pakistan,2012,13th,130.9,High Warning,9.3,9.1,9.6,7.2,8.2,7.2,8.3,7,8.6,8.5,9,9.4,3.7,6.4,1.1,4.2,10,4
Rwanda,2012,14th,129.4,High Warning,5.5,7.9,8.5,6.8,7.4,7,6.8,7.5,8,8.6,7.6,7.7,4.3,9.9,1.8,4.2,10,10
Kenya,2012,15th,128.8,High Warning,7.6,9,8.9,7.3,8.2,7.7,8.6,8.1,7.4,8.9,8.4,8.4,4.2,9.3,2,4.3,8.7,1.7
Ethiopia,2012,16th,127.6,High Warning,8.1,8.7,8.1,7.4,7.9,7,7.2,8.4,8.6,9.6,8.7,8.2,4.7,6,1.8,3.8,8.5,4.9
Uganda,2012,17th,127.3,High Warning,8.3,8.7,7.7,7.5,8.1,6.9,8,8.6,7.8,8.8,8.2,7.9,6,7.2,1.9,2.6,7,6.2
Eritrea,2012,18th,126.8,High Warning,7.8,8.1,6.4,8.6,6.9,7.1,8.4,8.2,8.7,8.6,7.1,8.5,4.4,9.3,1.3,3.9,9.6,3.9
Niger,2012,19th,126,High Warning,8.2,8.6,7.7,8.6,7.6,6,8.4,9.2,7.9,9.3,6.9,8.4,7.4,6.3,2.2,2.3,8.7,2.4
Nepal,2012,20th,126,High Warning,7.5,8.2,9,7.6,8.4,5.6,8,7.4,8.2,7.9,7.7,7.4,2.4,8.8,1.9,5.1,9,5.9
North Korea,2012,21st,125.5,High Warning,8.1,7.7,6.6,9.3,8.6,4.4,9.9,9.4,9.6,7.9,5.3,8.7,2,9.2,0,6.1,9.9,2.9
Guinea,2012,22nd,125.5,High Warning,9.4,9.2,7.9,8.9,8.1,8,9.5,8.6,8.7,8.3,8,7.3,5.2,5.1,3.5,2.1,3.8,3.9
Chad,2012,23rd,124.6,High Warning,8.9,9.8,9.1,8.3,8.6,7.7,9.8,9.5,9.3,9.3,9.5,7.8,6.4,2.1,2.4,0.5,2.9,2.6
Central African Republic,2012,24th,124.4,High Warning,9.6,9.1,8.5,8,8.7,5.6,8.9,9.1,8.5,8.8,9.7,9.3,5.1,3.1,1.2,0.1,8.9,2.2
Sri Lanka,2012,25th,124.1,High Warning,8.2,9.2,9.1,5.6,8.1,7.1,8.1,5.8,8.7,7.1,8.7,6.5,2.1,10,1.8,7.1,9.8,1
Kyrgyz Republic,2012,26th,122.6,High Warning,7.4,8.3,8.4,7.9,7.3,6.7,8.7,5.4,7.8,6.5,5.3,7.6,3.2,9.6,5.5,6.1,6.7,4.1
Libya,2012,27th,122,High Warning,9,8,7,5.5,7,3.9,8.1,7.6,9,5.8,5.1,9,2.4,9.9,5.6,6.2,10,2.9
Malawi,2012,28th,121.7,High Warning,5.1,7.6,5.7,8.5,7.7,7.8,8,7.9,7.1,8.8,6.2,8.4,5,9.6,2.4,3.1,8.9,4
Mauritania,2012,29th,121.5,High Warning,7.7,8.1,7.5,7.6,6.3,5.4,7.6,7.9,7.3,8,6.5,7.6,4.9,7.5,4.6,3.5,9.6,3.9
Congo Republic,2012,30th,121.2,High Warning,7,6.7,6.3,7.5,7.9,6.5,8.6,8.4,7.2,8.3,7.7,7.9,4.9,8.1,3.5,3.4,10,1.3
Syria,2012,31st,121.1,High Warning,8.5,8.7,9.2,6.3,7.5,6,9.5,7,9.4,5.5,9,7.9,3.1,2.8,2.2,6.7,9.7,2.1
Egypt,2012,32nd,120.5,High Warning,7,8.8,8.8,7.1,7.4,5.7,9.2,5.9,9,7.1,6.4,8,3.3,9.2,1.4,5.8,10,0.4
Guinea Bissau,2012,33rd,120.4,High Warning,9.4,9.2,5.7,9,7.8,7.7,9.3,8.5,7.5,8.7,7.5,8.9,4.9,8.4,1.4,1.8,2.1,2.5
Uzbekistan,2012,34th,120.3,High Warning,8.2,8.7,7.7,7.1,7.9,6,8.7,5.7,9.1,7,5.7,5.7,2.2,10,1.8,5.9,8.9,3.9
Liberia,2012,35th,120,High Warning,7,8.4,6.5,8.6,7.7,6.7,6.9,8.8,6.1,8.4,8.9,9.3,4.9,7.5,5.1,2.9,4.4,2
Cameroon,2012,36th,119.8,Elevated warning,7.9,9.2,7.5,6.5,8.1,7.5,8.9,8.1,7.8,8.2,7,6.5,5,8.1,1.5,1.8,7.7,2.5
Iran,2012,37th,119.5,Elevated warning,8.3,9.3,8.6,6.4,6.7,6.4,8.8,5.3,8.9,5.8,7.6,7.4,1.7,10,1.2,6.6,9.9,0.6
Angola,2012,38th,119.4,Elevated warning,5.9,7,6.5,4.8,9.1,5.6,8.2,8.3,7.6,8.9,6.9,6.4,6,6.8,2.3,3.1,10,6.1
Solomon Islands,2012,39th,119,Elevated warning,6.7,8,6.8,7.9,8.3,5.4,7.6,7.8,6.2,7.6,4.8,8.5,4.1,10,3.6,5.3,10,0.4
Sierra Leone,2012,40th,118.7,Elevated warning,5.7,7.9,6.2,8.3,8.2,7.7,7.6,8.7,6.4,8.9,7.8,7.1,4.9,8.9,3.5,0,8.7,2.2
Bangladesh,2012,41st,118.3,Elevated warning,7.6,8.9,8.9,7.4,8.1,7.8,8.2,7.8,6.8,8,6.8,5.9,2.2,9.3,1.6,5.7,3.7,3.5
Myanmar,2012,42nd,118.1,Elevated warning,7.5,8.6,8.7,7.6,8.7,5.7,9.4,8.4,8.6,7.9,8.2,6.9,2.3,8,0.6,4.5,5.4,1.1
Georgia,2012,43rd,118.1,Elevated warning,7.6,9.1,8.3,6.3,6.6,5.2,8.5,5.7,6.7,5.5,7.2,8.2,2,9.1,3.3,6.8,9.9,2.1
Senegal,2012,44th,117.7,Elevated warning,6.3,6.3,6,6.9,6.9,6.3,6,7.5,6.5,7.8,6.7,6,5,8.9,2.8,4.3,9.9,7.6
Mozambique,2012,45th,117.7,Elevated warning,6.8,5.6,4.9,7.9,7.7,7.5,7.3,8.3,6.7,8.9,4.3,6.5,5.5,6.9,4.5,1.9,9.5,7
Cambodia,2012,46th,117.1,Elevated warning,6.5,8,7.3,6.9,7.1,7.7,8.2,8.3,7.7,7.5,5.9,7.7,2.7,8.3,3.6,4.9,5.2,3.6
Tanzania,2012,47th,116.5,Elevated warning,5.8,5.7,5.8,6.9,5.9,6.1,6.5,8.5,6.5,8.2,7.1,7.4,5.3,9.1,1.9,3.6,9.9,6.4
Togo,2012,48th,116,Elevated warning,7.3,7.5,5.1,7.7,7.6,6.9,8.2,8.2,7.4,8.1,6.8,6.8,4.7,8,3.5,2.3,7.9,2
Nigeria,2012,49th,116,Elevated warning,9.2,9.8,9.7,7.5,8.9,7.6,9.1,9.1,8.6,8.4,6.5,6.6,5.8,2.4,0.7,0.5,4.4,1.2
Ecuador,2012,50th,115.8,Elevated warning,6.5,8.2,6.9,5.9,7.7,7.1,7.5,7.2,5.2,5.6,6,6.3,2.6,8.4,1.8,7.2,10,5.7
Tajikistan,2012,51st,115.7,Elevated warning,7.1,8.3,6.9,7.7,6.5,5.7,8.8,6.6,8.5,7.3,5.6,6.7,3.5,9.3,4,5.9,3.9,3.4
Bolivia,2012,52nd,115.2,Elevated warning,6.5,8,7.4,6.5,8.8,6.1,7.1,6.8,6.5,7.5,4.3,6.6,3.1,9.2,2.2,5,9.2,4.5
Lebanon,2012,53rd,114.8,Elevated warning,8.4,9.1,8.4,5.5,6.5,6.3,7.5,5.5,6.5,6.2,8.2,7.7,1.7,7.6,4.4,7.8,6.9,0.6
Djibouti,2012,54th,114.5,Elevated warning,6.5,7.5,6.5,6.6,7.1,4.9,7.5,7.2,6.8,8.3,6.9,8,3.1,7.6,4.4,3.2,9.8,2.5
Zambia,2012,55th,114.2,Elevated warning,5.3,6,6.3,8.1,7.7,7.1,8,7.7,6.4,9.1,7.3,7,5.2,7.2,2.2,2.8,8.7,2
Fiji,2012,56th,113.7,Elevated warning,7,7.9,7.6,7,7.7,7.3,8.8,5.2,7,5.1,3.3,6.6,2.6,10,3.7,5.8,8.3,2.8
Colombia,2012,57th,113.7,Elevated warning,7,7.7,7.2,4,8.4,7.6,7.4,5.9,7,6.4,8.4,7.4,1.9,8.9,1.1,6.9,8.2,2.1
