Country,Year,Rank,Total,Total Discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Sudan,2013,1st,140.4,Alert,9.8,10,10,7.8,8.5,8.4,9.6,8.8,9.3,8.8,10,10,4.7,9.3,1.5,6.5,4.9,2.5
Somalia,2013,2nd,139.9,Alert,9.7,10,9.3,9.4,8.4,8.9,9.5,9.8,10,9.5,10,9.4,6.6,4.2,6.2,5.7,1.9,1.4
Congo Democratic Republic,2013,3rd,138.9,Alert,10,9.5,9.4,8.5,8.8,7.1,9.6,9.5,9.8,10,10,9.7,6.4,7.4,4.2,6,2.1,0.9
Zimbabwe,2013,4th,137.7,Alert,8.4,9.7,8.4,8.6,8.6,8.6,9.2,9.1,8.9,9.2,8.7,7.8,4,9.5,4.5,5.9,5.4,3.2
Afghanistan,2013,5th,137.5,Alert,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10,5.2,6.4,5,6.4,4.9,2.8
South Sudan,2013,6th,136.7,Alert,9.6,9.8,10,8.6,8.9,6.5,9.1,9.8,9.3,8.9,10,10,5.1,4.5,3.8,5.6,4.5,2.7
Iraq,2013,7th,136.1,Alert,10,9.6,10,7.3,8.4,8.3,8.6,7.6,8.6,8.3,8.8,8.5,4.5,6.8,3.6,7.2,7.5,2.5
Yemen,2013,8th,133.9,High Warning,9.8,9.5,9,9.2,8.1,7.4,9.3,8.7,8.7,9.3,9.2,8.7,4.3,7.3,3,6.6,5.8,0
Pakistan,2013,9th,133.3,High Warning,9.8,9.2,9.7,7.5,7.9,6.9,8.4,7.3,8.7,8.9,9.1,9.6,3.7,7.2,2,6.7,8.6,2.1
Chad,2013,10th,133.2,High Warning,9.4,9.5,8.8,8,8.9,8,9.7,9.9,9.8,9.5,9.7,7.9,6.3,3.9,3.9,5.3,3.2,1.5
Timor-Leste,2013,11th,132.3,High Warning,8.3,8.3,6.8,7.9,6.7,6.4,8,8.5,6,8.7,7.4,8.5,5.9,8.2,10,7,5.8,3.9
Cote d Ivoire,2013,12th,132.2,High Warning,9.1,9.4,9,7.7,7.8,7.3,9.3,8.5,8.6,7.8,9.3,9.7,5.1,8,3.9,5.3,5.4,1
Haiti,2013,13th,131.9,High Warning,7.9,9,7,9.7,9.1,9.1,8.8,9.6,7.6,9.6,8.6,9.9,3.1,6.8,5.2,6.5,4,0.4
Burundi,2013,14th,130.6,High Warning,7.7,7.9,8.1,9.1,7.6,6.2,8.4,8.3,7.9,8.9,8.8,8.7,6,9.6,3.4,5.8,5.1,3.1
Liberia,2013,15th,130.2,High Warning,7.1,8.3,6.5,8.3,8,7,6.6,9.1,6.4,8.8,9.2,9.8,4.8,7.6,9.6,6.2,5.8,1.1
Guinea Bissau,2013,16th,129.7,High Warning,9.5,9.7,5.7,8.7,8.1,8,9.7,8.8,7.6,8.4,7.8,9,4.9,8.7,2.7,5.8,5.2,1.4
Guinea,2013,17th,129.6,High Warning,9.1,8.9,7.6,9.2,8.2,7.7,9.8,8.9,8.4,8.4,8.2,7,5.1,6.3,5.5,5.9,5.4,0
Kenya,2013,18th,129.2,High Warning,8.1,9,9,7.6,8.3,7.8,8.3,8.1,7.1,9.1,8.7,8.5,4.1,8.7,3.3,6.8,4.8,1.9
Niger,2013,19th,127.8,High Warning,8.3,8.9,7.8,8.4,7.9,6.3,8.1,9.5,7.6,9.8,7.9,8.5,7.4,6.7,3.9,6,3.5,1.3
Bangladesh,2013,20th,126.1,High Warning,7.7,8.9,8.6,7.3,7.8,7.5,8.3,8,7.3,8.1,7.3,5.8,2.2,9.6,2.7,7.3,9.7,2
Uganda,2013,21st,126.1,High Warning,8.2,8.6,8,7.4,7.8,6.7,8.1,8.3,7.9,9.1,8.4,8.2,5.9,7.8,3,6.1,3.1,3.5
Nepal,2013,22nd,126,High Warning,7.6,8.2,9,7.3,8.1,5.9,8.1,7.3,7.9,7.6,7.7,7.1,2.3,9.2,3.7,7.1,8.6,3.3
North Korea,2013,23rd,125.7,High Warning,8.4,7.7,6.6,9.3,8.3,4.4,9.8,9.5,9.7,8,5,8.4,2,9.3,0.5,7.3,9.9,1.6
Ethiopia,2013,24th,125.7,High Warning,8.4,8.7,8.6,7.7,7.6,6.7,7.3,8.7,8.7,9.7,8.7,8.1,4.6,7.2,2.9,6.6,2.7,2.8
Kyrgyz Republic,2013,25th,125.5,High Warning,7.4,8,8.4,7.6,7,6.4,8.4,5.9,7.6,6.2,5.6,7.3,3.1,9.7,9.2,7.4,8,2.3
Sri Lanka,2013,26th,125.2,High Warning,8.5,9.3,9.5,5.9,7.8,7.3,8.2,5.5,9,6.8,8.4,6.8,2.1,9.9,2.9,7.8,8.9,0.6
Mauritania,2013,27th,124.5,High Warning,7.8,8.2,7.2,8,6.5,5.7,7.7,8.4,7.4,8.5,8.3,7.9,4.8,8,7.2,6.4,4.3,2.2
Rwanda,2013,28th,124.5,High Warning,5.5,8.2,8.2,6.7,7.7,6.9,6.5,7.6,7.7,8.4,7.9,8,4.2,9.8,3.2,6.8,4.8,6.4
Central African Republic,2013,29th,124.3,High Warning,9.7,9.1,8.5,7.7,9.2,6.1,9,9.5,8.6,8.6,9.8,9.4,5.1,2.3,2.5,5.1,4.1,0
Nigeria,2013,30th,123.5,High Warning,9.5,9.4,9.8,7.5,9.2,7.3,8.8,9.3,8.6,8.5,6.6,6.3,5.7,4.6,1.3,5.3,5.1,0.7
Cameroon,2013,31st,123.3,High Warning,8,9.2,7.8,6.1,7.8,7.2,8.5,8.4,8.1,8.3,7.3,6.8,4.9,8.9,2.9,5.8,4.2,3.1
Egypt,2013,32nd,123.1,High Warning,7.3,8.7,8.5,8.2,7.1,5.4,8.9,5.6,9.6,7.2,6.5,7.7,3.3,9.7,2.3,7.3,9.8,0
Syria,2013,33rd,122.9,High Warning,9.8,9.2,9.3,6.4,7.2,6.2,9.6,7,9.5,5.6,9.5,8.1,3.1,4.1,0,7.7,9.4,1.2
Sierra Leone,2013,34th,121.8,High Warning,5.4,7.9,5.9,8.6,8.5,8,7.3,9,6.1,9,8.1,7.4,4.8,9.2,5.9,5.1,4.4,1.2
Malawi,2013,35th,121.8,High Warning,5,7.6,5.7,8.4,8,8.1,7.5,8.2,6.8,8.9,6.5,8.4,4.9,8.9,4.3,6.3,6.1,2.2
Cambodia,2013,36th,121.3,High Warning,6.2,8,7,6.4,7.3,7.4,8.3,8.1,7.8,7.2,6.2,8,2.7,8.3,6.7,7,6.7,2
Tajikistan,2013,37th,121,High Warning,7.4,8.3,6.7,8,6.2,5.9,9.1,6.3,8.2,7.4,5.3,6.4,3.5,9.6,6.8,7.4,6.6,1.9
Congo Republic,2013,38th,120.5,High Warning,6.7,6.7,6,7,8.2,6.2,8.7,8.7,7.5,8.2,8,8.2,4.8,8.5,6.6,6.4,3.4,0.7
