Country,Year,Rank,Total discretized,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Sudan,2014,1st,alert,135.5,9.6,10,9.9,8.1,8.2,8.7,9.3,9.1,9.3,8.6,9.7,9.6,4.7,9.4,0,4,5,2.4
Congo Democratic Republic,2014,2nd,high warning,131.7,9.4,9.5,9.6,8.2,8.5,7.2,9.3,9.4,10,9.4,9.9,9.8,6.3,7.6,1.9,2.5,2.1,1.1
South Sudan,2014,3rd,high warning,130.5,9.9,10,10,8.8,8.9,6.8,9.7,9.9,9.9,9.1,10,9.9,5,2.4,1.4,1.5,4.6,2.7
Afghanistan,2014,4th,high warning,130.4,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9,5,5.3,2.1,3.6,5.1,2.8
Somalia,2014,5th,high warning,129.9,9.4,10,9.3,9.1,8.7,8.9,9.1,9.6,9.8,9.5,10,9.2,6.5,2.8,3.1,1.6,1.9,1.4
Iraq,2014,6th,high warning,129.7,10,9.6,10,7,8.1,8,8.7,7.7,8.7,8,8.5,7.9,4.5,5.6,1.6,5.7,7.6,2.5
Pakistan,2014,7th,high warning,128.9,9.9,9.5,10,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3,3.6,6.6,0.5,4.4,8.7,2.1
Zimbabwe,2014,8th,high warning,128.7,8.1,10,8.1,8.3,8.3,8.3,9.3,8.8,8.6,8.9,8.4,7.7,3.9,9,1.8,2.7,5.4,3.2
Syria,2014,9th,high warning,128.1,10,9.6,10,6.7,6.9,6.9,9.8,7.2,9.9,6,10,8.6,3,2.9,2.8,7.1,9.4,1.2
Yemen,2014,10th,high warning,127.5,9.5,9.4,9.3,9.1,7.8,7.3,8.9,8.5,9,9.1,9,8.5,4.2,6.7,1.1,4.1,6,0
North Korea,2014,11th,high warning,125.5,8.5,8.2,6.6,9,8,4.4,9.9,9.2,9.6,7.5,4.7,8.4,2,9.2,2.4,6.3,9.9,1.6
Kenya,2014,12th,high warning,125.1,8.2,9.3,9.3,7.9,8,7.8,8.4,8.2,6.8,8.7,8.2,8.2,4,9.1,1.3,4.9,4.9,1.9
Central African Republic,2014,13th,high warning,125,9.9,9.7,9.5,7.8,9.4,7,9.5,9.7,9.5,8.7,10,9.9,5,3.4,1.6,0.2,4.1,0
Timor-Leste,2014,14th,high warning,124.3,8,8.3,6.8,8.2,6.4,6.7,7.7,8.5,5.7,8.8,7.1,8.8,5.7,7.2,5.2,5.3,5.9,3.9
Burundi,2014,16th,high warning,124.2,7.4,7.9,8.1,8.8,7.5,6.5,8.1,8.6,8,8.7,9,8.5,5.9,9.5,1.4,2,5.2,3.1
Chad,2014,15th,high warning,124.2,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10,9.5,9.6,9.8,8.2,6.2,2.2,1.9,0.5,3.2,1.5
Guinea,2014,17th,high warning,124,9.2,9.6,8.4,8.9,7.9,7.5,9.9,9.2,8.5,8,8.3,7.3,5,3.9,2.6,2.2,5.4,2.2
Guinea Bissau,2014,18th,high warning,123.7,8.6,9.6,6,8.4,8.1,8.3,9.3,9.1,7.5,8.5,8.1,9.1,4.8,8.5,1.2,1.9,5.3,1.4
Bangladesh,2014,19th,high warning,123.5,7.8,9.3,8.7,7,7.5,7.2,8.4,8.4,8,7.6,6.9,6,2.2,9.7,0.9,6.2,9.7,2
Sri Lanka,2014,20th,high warning,123,8.2,9.4,9.3,6.2,7.5,7.6,8.3,5.3,9.1,6.5,8.5,6.7,2.1,10,1.1,7.6,9,0.6
Cote d Ivoire,2014,21st,high warning,122.3,8.8,9.4,9,7.4,7.6,7,8.8,8.7,8.7,7.8,9.1,9.4,5,7.1,1.4,0.7,5.4,0.9
Rwanda,2014,22nd,high warning,121.7,5.9,8.2,8.5,6.7,7.9,7.2,6.5,7.5,7.8,8,8.2,8.1,4.1,9.9,1.3,4.7,4.8,6.4
Haiti,2014,23rd,high warning,121.6,7.5,9.1,7,9.4,9.3,9.1,8.9,9.5,7.5,8.7,8.5,9.8,3,3.5,2.6,3.8,4,0.4
Nepal,2014,24th,high warning,121.4,7.3,8.3,9,7.1,7.8,6.2,7.6,7.4,7.6,7.8,7.6,7.3,2.2,9.1,1.8,5.5,8.7,3
Ethiopia,2014,25th,high warning,120.5,8.1,8.7,8.9,7.4,7.3,6.7,7.1,8.9,8,9.4,9,8.4,4.4,7.2,1.1,4.2,2.8,2.8
Egypt,2014,26th,high warning,120.4,7.9,9.4,8.6,7.9,6.8,5.1,9,5.7,9.7,7.1,6.4,7.4,3.3,9.4,0.7,6.2,9.8,0
Niger,2014,27th,high warning,120.3,8.4,8.9,7.5,8.1,7.9,6.6,7.8,9.3,7.3,9.3,8.2,8.6,7.3,6.1,1.7,2.5,3.5,1.3
Eritrea,2014,28th,high warning,120,7.6,8.1,6.4,8,7.2,7.5,8.8,8.4,9.2,8.5,7.3,8.5,4.3,9.4,3.9,4.2,0.6,2.2
Mauritania,2014,29th,elevated warning,119.8,7.7,8.5,7.2,7.7,6.8,6,7.4,8.6,7.7,8.4,8.8,8.2,4.8,8.1,3.4,3.6,4.4,2.5
Uganda,2014,30th,elevated warning,119.6,7.9,8.9,8.3,7.3,7.6,6.9,7.8,8.3,7.6,8.7,8.7,8,5.8,7.3,1,2.8,3.2,3.5
Liberia,2014,31st,elevated warning,119,6.8,8.3,6.5,8,8,6.9,6.9,9.3,6.3,8.5,9.1,9.7,4.7,3.8,6,3.1,5.9,1.1
Kyrgyz Republic,2014,32nd,elevated warning,118.4,7.1,8,8.2,7.3,6.7,6.1,8.2,5.9,7.3,6,5.5,7.6,3.2,9.6,4.7,6.5,8.1,2.3
Cambodia,2014,33rd,elevated warning,117.3,6.3,8.6,7.3,6.1,7.4,7.2,8.4,8,7.9,7.5,6.1,7.7,2.6,8.6,3.4,5.3,6.8,2
Myanmar,2014,34th,elevated warning,117.2,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9,2.3,8.6,0.7,4.8,5.9,0.6
Cameroon,2014,35th,elevated warning,117,7.7,9.5,7.8,5.9,7.5,7.5,8.2,8.5,8.3,8.1,7.6,6.5,4.8,8.5,1.2,1.9,4.3,3.1
Malawi,2014,36th,elevated warning,116.1,5.1,7.7,5.7,8.3,8.1,8.4,7.6,8.1,6.5,8.8,6.4,8.4,4.7,9,1.8,3.6,6.2,1.7
Iran,2014,37th,elevated warning,115.7,8.3,9.4,8.8,6.4,6.4,5.9,8.7,4.8,9.3,5.3,6.8,7.1,1.7,10,0.5,7.1,8.9,0.3
