Country,Year,Rank,Total discretized,Total,Security Apparatus discretized,C1 Security Apparatus,Factionalized Elites discretized,Factionalized elites discretized,Group grievance discretized,C3 Group Grievance,Economy discretized,E1 Economy,Economic Inequality discretized,E2 Economic Inequality,human flight discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,external intervention,X1 External Intervention,fertility rate discretized,"Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT ",Imports of goods and services discretized,Imports of goods and services,life expectancy discretized,"Life expectancy at birth, female (years)",basic drinking water discretized,"People using basic drinking water services, rural ",seats held by women discretized,Proportion of seats held by women in national parliaments 
Sudan,2014,1st,alert,135.5,very high,9.6,very low,10,very low,9.9,very high,8.1,very low,8.2,very low,8.7,very low,9.3,very high,9.1,very high,9.3,very low,8.6,very low,9.7,very low,9.6,neutral,4.7,very high,9.4,very low,0,neutral,4,neutral,5,low,2.4
Congo Democratic Republic,2014,2nd,high warning,131.7,very high,9.4,very low,9.5,very low,9.6,very high,8.2,very low,8.5,low,7.2,very low,9.3,very high,9.4,very high,10,very low,9.4,very low,9.9,very low,9.8,low,6.3,high,7.6,very low,1.9,high,2.5,high,2.1,very low,1.1
South Sudan,2014,3rd,high warning,130.5,very high,9.9,very low,10,very low,10,very high,8.8,very low,8.9,low,6.8,very low,9.7,very high,9.9,very high,9.9,very low,9.1,very low,10,very low,9.9,neutral,5,low,2.4,very low,1.4,very high,1.5,neutral,4.6,low,2.7
Afghanistan,2014,4th,high warning,130.4,very high,10,very low,9.4,very low,8.7,very high,8.3,low,7.5,low,7.8,very low,9.5,very high,9,very high,8.3,very low,8.8,very low,9.3,very low,9.9,neutral,5,neutral,5.3,low,2.1,high,3.6,neutral,5.1,low,2.8
Somalia,2014,5th,high warning,129.9,very high,9.4,very low,10,very low,9.3,very high,9.1,very low,8.7,very low,8.9,very low,9.1,very high,9.6,very high,9.8,very low,9.5,very low,10,very low,9.2,low,6.5,low,2.8,low,3.1,very high,1.6,very high,1.9,very low,1.4
Iraq,2014,6th,high warning,129.7,very high,10,very low,9.6,very low,10,high,7,very low,8.1,very low,8,very low,8.7,high,7.7,very high,8.7,very low,8,very low,8.5,low,7.9,neutral,4.5,neutral,5.6,very low,1.6,neutral,5.7,low,7.6,low,2.5
Pakistan,2014,7th,high warning,128.9,very high,9.9,very low,9.5,very low,10,high,7.5,low,7.6,low,6.9,very low,8.5,high,7.6,very high,8.6,very low,8.8,very low,8.8,very low,9.3,high,3.6,high,6.6,very low,0.5,neutral,4.4,very low,8.7,low,2.1
Zimbabwe,2014,8th,high warning,128.7,very high,8.1,very low,10,very low,8.1,very high,8.3,very low,8.3,very low,8.3,very low,9.3,very high,8.8,very high,8.6,very low,8.9,very low,8.4,low,7.7,high,3.9,very high,9,very low,1.8,high,2.7,neutral,5.4,low,3.2
Syria,2014,9th,high warning,128.1,very high,10,very low,9.6,very low,10,high,6.7,low,6.9,low,6.9,very low,9.8,high,7.2,very high,9.9,low,6,very low,10,very low,8.6,high,3,low,2.9,low,2.8,low,7.1,very low,9.4,very low,1.2
Yemen,2014,10th,high warning,127.5,very high,9.5,very low,9.4,very low,9.3,very high,9.1,low,7.8,low,7.3,very low,8.9,very high,8.5,very high,9,very low,9.1,very low,9,very low,8.5,neutral,4.2,high,6.7,very low,1.1,neutral,4.1,low,6,very low,0
North Korea,2014,11th,high warning,125.5,very high,8.5,very low,8.2,low,6.6,very high,9,very low,8,neutral,4.4,very low,9.9,very high,9.2,very high,9.6,low,7.5,neutral,4.7,very low,8.4,high,2,very high,9.2,low,2.4,low,6.3,very low,9.9,very low,1.6
Kenya,2014,12th,high warning,125.1,very high,8.2,very low,9.3,very low,9.3,high,7.9,very low,8,low,7.8,very low,8.4,very high,8.2,high,6.8,very low,8.7,very low,8.2,very low,8.2,neutral,4,very high,9.1,very low,1.3,neutral,4.9,neutral,4.9,very low,1.9
Central African Republic,2014,13th,high warning,125,very high,9.9,very low,9.7,very low,9.5,high,7.8,very low,9.4,low,7,very low,9.5,very high,9.7,very high,9.5,very low,8.7,very low,10,very low,9.9,neutral,5,low,3.4,very low,1.6,very high,0.2,neutral,4.1,very low,0
Timor-Leste,2014,14th,high warning,124.3,very high,8,very low,8.3,low,6.8,very high,8.2,low,6.4,low,6.7,low,7.7,very high,8.5,neutral,5.7,very low,8.8,low,7.1,very low,8.8,neutral,5.7,high,7.2,neutral,5.2,neutral,5.3,neutral,5.9,low,3.9
Chad,2014,15th,high warning,124.2,very high,9.1,very low,9.8,very low,8.5,high,7.7,very low,8.8,very low,8.3,very low,9.4,very high,10,very high,9.5,very low,9.6,very low,9.8,very low,8.2,low,6.2,low,2.2,very low,1.9,very high,0.5,high,3.2,very low,1.5
Burundi,2014,16th,high warning,124.2,high,7.4,low,7.9,very low,8.1,very high,8.8,low,7.5,low,6.5,very low,8.1,very high,8.6,very high,8,very low,8.7,very low,9,very low,8.5,neutral,5.9,very high,9.5,very low,1.4,high,2,neutral,5.2,low,3.1
Guinea,2014,17th,high warning,124,very high,9.2,very low,9.6,very low,8.4,very high,8.9,low,7.9,low,7.5,very low,9.9,very high,9.2,very high,8.5,very low,8,very low,8.3,low,7.3,neutral,5,low,3.9,low,2.6,high,2.2,neutral,5.4,low,2.2
Guinea Bissau,2014,18th,high warning,123.7,very high,8.6,very low,9.6,low,6,very high,8.4,very low,8.1,very low,8.3,very low,9.3,very high,9.1,high,7.5,very low,8.5,very low,8.1,very low,9.1,neutral,4.8,very high,8.5,very low,1.2,very high,1.9,neutral,5.3,very low,1.4
Bangladesh,2014,19th,high warning,123.5,high,7.8,very low,9.3,very low,8.7,high,7,low,7.5,low,7.2,very low,8.4,very high,8.4,very high,8,low,7.6,low,6.9,low,6,high,2.2,very high,9.7,very low,0.9,low,6.2,very low,9.7,low,2
Sri Lanka,2014,20th,high warning,123,very high,8.2,very low,9.4,very low,9.3,high,6.2,low,7.5,low,7.6,very low,8.3,neutral,5.3,very high,9.1,low,6.5,very low,8.5,low,6.7,high,2.1,very high,10,very low,1.1,low,7.6,very low,9,very low,0.6
Cote d Ivoire,2014,21st,high warning,122.3,very high,8.8,very low,9.4,very low,9,high,7.4,low,7.6,low,7,very low,8.8,very high,8.7,very high,8.7,low,7.8,very low,9.1,very low,9.4,neutral,5,high,7.1,very low,1.4,very high,0.7,neutral,5.4,very low,0.9
Rwanda,2014,22nd,high warning,121.7,neutral,5.9,very low,8.2,very low,8.5,high,6.7,low,7.9,low,7.2,low,6.5,high,7.5,high,7.8,very low,8,very low,8.2,very low,8.1,neutral,4.1,very high,9.9,very low,1.3,neutral,4.7,neutral,4.8,high,6.4
Haiti,2014,23rd,high warning,121.6,high,7.5,very low,9.1,low,7,very high,9.4,very low,9.3,very low,9.1,very low,8.9,very high,9.5,high,7.5,very low,8.7,very low,8.5,very low,9.8,high,3,low,3.5,low,2.6,high,3.8,neutral,4,very low,0.4
Nepal,2014,24th,high warning,121.4,high,7.3,very low,8.3,very low,9,high,7.1,low,7.8,low,6.2,low,7.6,high,7.4,high,7.6,low,7.8,low,7.6,low,7.3,high,2.2,very high,9.1,very low,1.8,neutral,5.5,very low,8.7,low,3
Ethiopia,2014,25th,high warning,120.5,very high,8.1,very low,8.7,very low,8.9,high,7.4,low,7.3,low,6.7,low,7.1,very high,8.9,very high,8,very low,9.4,very low,9,very low,8.4,neutral,4.4,high,7.2,very low,1.1,neutral,4.2,high,2.8,low,2.8
Egypt,2014,26th,high warning,120.4,high,7.9,very low,9.4,very low,8.6,high,7.9,low,6.8,neutral,5.1,very low,9,neutral,5.7,very high,9.7,low,7.1,low,6.4,low,7.4,high,3.3,very high,9.4,very low,0.7,low,6.2,very low,9.8,very low,0
