Country,Year,Rank,Total discretized,Total,security apparatus discretized,C1  Security Apparatus,factionalized elites discretized,C2 Factionalized Elites,group grievance discretized,C3 Group Grievance,economy discretized,E1 Economy,economic inequality discretized,E2 Economic Inequality,human flight and brain drain discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,External Intervention discretized,X1 External Intervention,"Fertility rate, total (births per woman) discretized","Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT",Imports of goods and services discretized,Imports of goods and services ,"Life expectancy at birth, female (years) discretized","Life expectancy at birth, female (years)","People using basic drinking water services, rural  discretized","People using basic drinking water services, rural",Proportion of seats held by women in national parliaments discretized,Proportion of seats held by women in national parliaments 
South Sudan,2015,1st,alert,141,very low,10,very low,10,very low,10,very high,9,very low,8.8,low,6.9,very low,10,very high,10,very high,10,very low,9.8,very low,10,very low,10,neutral,4.9,very high,10,low,2.6,very low,1.5,neutral,4.8,low,2.7
Syria,2015,2nd,alert,139.1,very low,10,very low,9.9,very low,10,high,7.5,low,7,low,7.4,very low,9.9,very high,8.2,very high,10,very low,8.1,very low,10,very low,9.9,high,3,very high,8,low,2.6,high,7.1,very low,9.4,very low,1.2
Somalia,2015,3rd,alert,137.4,very low,9.7,very low,10,very low,9.5,very high,9.1,very low,9,very low,9.2,very low,9.3,very high,9.3,very high,10,very low,9.6,very low,9.8,very low,9.5,low,6.4,very high,9.2,low,2.8,very low,1.6,high,2,very low,1.4
Sudan,2015,4th,alert,136.3,very low,9.5,very low,9.8,very low,9.7,very high,8.6,low,7.9,very low,8.8,very low,9.6,very high,8.8,very high,9.6,very low,8.7,very low,10,very low,9.8,neutral,4.6,very high,8.6,very low,0,low,3.9,neutral,5.2,low,3.1
Afghanistan,2015,5th,alert,135.7,very low,10,very low,9.3,very low,8.9,very high,8.6,low,7.2,very low,8.1,very low,9.7,very high,9.3,very high,8.6,very low,9.3,very low,9.1,very low,9.8,neutral,4.8,very high,9.2,low,2.1,low,3.6,neutral,5.3,low,2.8
Iraq,2015,6th,high warning,133.9,very low,10,very low,9.6,very low,10,high,6.9,low,7.8,very low,8.1,very low,9.2,high,7.5,very high,8.9,very low,8.2,very low,8.9,very low,9.4,neutral,4.4,high,7.2,very low,1.7,neutral,5.7,low,7.8,low,2.7
Congo Democratic Republic,2015,7th,high warning,132.6,very low,9.5,very low,9.5,very low,9.5,high,7.9,very low,8.8,low,7.1,very low,9,very high,9.7,very high,10,very low,9.5,very low,9.4,very low,9.8,low,6.2,very high,9.7,very low,1.6,low,2.5,high,2.1,very low,0.9
Central African Republic,2015,8th,high warning,132.5,very low,9.8,very low,10,very low,9.6,very high,8.3,very low,9.7,low,6.9,very low,9.5,very high,9.9,very high,10,very low,8.4,very low,10,very low,9.8,neutral,4.9,very high,9.9,very low,1.3,very low,0.3,neutral,4.1,very low,0
Guinea,2015,9th,high warning,131.8,very low,8.9,very low,9.6,very low,8.7,very high,9.2,low,7.6,low,7.2,very low,9.9,very high,9.8,very high,8.2,very low,9,very low,8.7,very low,8.1,neutral,4.9,very high,9.8,low,2.2,low,2.3,neutral,5.5,low,2.2
Yemen,2015,10th,high warning,131.2,very low,10,very low,9.4,very low,9.4,very high,9.3,very low,8.1,low,7.5,very low,9.3,very high,8.2,very high,9.1,very low,9.2,very low,9.1,very low,9.5,neutral,4.1,very high,8,very low,0.7,neutral,4.1,low,6.3,very low,0
