Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C1: Security Apparatus Discretised,C2: Factionalized Elites,C2: Factionalized Elites Discretised,C3: Group Grievance,C3: Group Grievance Discretised,E1: Economy,E1: Economy Discretised,E2: Economic Inequality,E2: Economic Inequality Discretised,E3: Human Flight and Brain Drain,E3: Human Flight and Brain Drain Discretised,P1: State Legitimacy,P1: State Legitimacy Discretised,P2: Public Services ,P2: Public Services Discretised,P3: Human Rights,P3: Human Rights Discretised,S1: Demographic Pressures,S1: Demographic Pressures Discretised,S2: Refugees and IDPs,S2: Refugees and IDPs Discretised,X1: External Intervention,X1: External Intervention Discretised,"Fertility rate, total (births per woman)","Fertility rate, total (births per woman) Discretised","Immunization, DPT (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months) Discretised",Imports of goods and services (% of GDP),Imports of goods and services (% of GDP) Discretised,"Life expectancy at birth, female (years)","Life expectancy at birth, female (years) Discretised","People using basic drinking water services, rural (% of rural population)","People using basic drinking water services, rural (% of rural population) Discretised",Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) Discretised
Sudan,2012,1st,141.9,Alert,9.7,Very High,9.9,Very Low,10,Very low,7.3,High,8.8,Very Low,8.3,Very Low,9.5,Very Low,8.5,Very High,9.4,Very High,8.4,Very low,9.9,Very Low,9.5,Very Low,4.8,Neutral,9.1,Very High,0.9,Very Low,3.8,Low,9.9,Very Low,4.4,High
Somalia,2012,2nd,141.5,Alert,10,Very High,9.8,Very Low,9.6,Very Low,9.7,Very High,8.1,Very Low,8.6,Very Low,9.9,Very Low,9.8,Very High,9.9,Very High,9.8,Very Low,10,Very Low,9.8,Very Low,6.7,Low,2.4,Low,3.5,Neutral,1.5,Very Low,10,Very Low,2.5,Low
Afghanistan,2012,3rd,137.4,Alert,9.7,Very High,9.4,Very Low,9.4,Very Low,7.7,High,8.1,Very Low,7.4,Low,9.5,Very Low,8.5,Very High,8.5,Very High,8.9,Very Low,9,Very Low,10,Very Low,5.4,Neutral,5.7,Neutral,2.2,Low,3.3,Low,9.7,Very Low,4.9,Neutral
Zimbabwe,2012,4th,137.1,Alert,8.7,Very High,9.8,Very Low,8.7,Very Low,8.9,Very High,8.9,Very Low,9,Very Low,9.4,Very Low,9.1,Very High,8.9,Very High,9,Very Low,8.4,Very Low,7.5,Low,4,High,9.5,Very High,2.7,Low,1.9,Very Low,10,Very Low,2.7,Low
South Sudan,2012,5th,136.7,Alert,9.7,Very High,10,10,10,Very Low,7.3,High,8.8,Very Low,6.4,Low,9.1,Very Low,9.5,Very High,9.2,Very High,8.4,Very Low,9.9,Very Low,10,Very Low,5.2,Neutral,4.7,Neutral,2.6,Low,1.4,Very Low,9.9,Very Low,4.7,Neutral
Timor-Leste,2012,6th,135.1,Alert,8.3,Very High,8.3,Very Low,6.8,Low,8,High,7,Low,6.1,Low,8.5,Very Low,8.4,Very High,6.3,High,8.4,Very Low,7.7,Low,8.9,Very Low,6,Neutral,7.9,High,7.2,High,4.9,Neutral,9.6,Very Low,6.8,HIgh
Iraq,2012,7th,134.5,High Warning,9.9,Very High,9.6,Very Low,9.7,Very Low,7.7,High,8.7,Very Low,8.6,Very Low,8.4,Very Low,7.8,High,8.3,Very High,8,Low,8.5,Very Low,9,Very Low,4.5,Neutral,6,Neutral,1.7,Very Low,5.4,Neutral,8.2,Very Low,4.5,Neutral
Congo Democratic Republic,2012,8th,134.3,High Warning,9.7,Very High,9.5,Very Low,9.3,Very Low,8.8,Very High,8.9,Very Low,7.4,Low,9.5,Very Low,9.2,Very High,9.7,Very High,9.9,Very Low,9.7,Very Low,9.6,Very Low,6.4,Low,6.8,High,2.2,Low,2.3,Low,3.7,High,1.6,Very Low
Burundi,2012,9th,131.3,High Warning,7.4,High,7.9,Low,8,Low,8.8,Very High,7.9,Low,5.9,Neutral,8.3,Very Low,8.5,Very High,8.1,Very High,8.8,Very Low,8.9,Very Low,9,Very Low,6.1,Low,9.6,Very High,2.1,Low,1.9,Very Low,8.7,Very Low,5.4,Neutral
Cote d Ivoire,2012,10th,131.2,High Warning,8.9,Very High,9.9,Very Low,9,Very Low,7.4,High,7.7,Low,7.6,Low,9.6,Very Low,8.3,Very High,8.3,Very High,7.9,Low,9,Very Low,10,Very Low,5.2,Neutral,7.7,High,2.5,Low,0.6,Very Low,9.6,Very Low,1.8,Very Low
