Country,,Year,Rank,Total,Total Discretised,C1 Security Apparatus,C2 Factionalized Elites,C3 Group Grievance,E1 Economy,E2 Economic Inequality,E3 Human Flight and Brain Drain,P1 State Legitimacy,P2 Public Services,P3 Human Rights,S1 Demographic Pressures,S2 Refugees and IDPs,X1 External Intervention,Fertility rate total births per woman,Immunization DPT  of children ages 12 to 23 months,Imports of goods and services  of GDP,Life expectancy at birth female years,People using basic drinking water services rural population,Proportion of seats held by women in national parliaments
Afghanistan,,2014,7th,106.5,High,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9,4.981,62,45.77388,64.197,5.1,2.8
Albania,,2014,123rd,63.6,Middle,5,6.2,4.7,5.5,4.5,6.9,6.5,4.8,5.5,4.4,3.4,6.2,1.71,98,47.2248,80.124,9,2
Algeria,,2014,71st,78.8,Middle,7.5,7.3,7.9,6.1,5.9,5,7.5,6.1,7.4,5.7,6.7,5.7,2.89,95,31.90083,76.873,8.8,3.2
Angola,,2014,43rd,87.4,Middle,5.8,7.2,7.1,5.4,9.5,6,8,9.1,7,9,7.5,5.8,5.841,64,42.21153,63.695,2.4,3.7
Antigua and Barbuda,,2014,127th,59,Low,4.9,3.7,4.1,4.5,5.3,7.6,5.8,4.1,4.7,4.9,3.3,6.1,2.076,99,58.27316,78.44,0,1.1
Argentina,,2014,144th,47.3,Low,3.3,2.8,5.3,4.3,5.7,2.7,4.3,4.1,4.4,4.2,2.3,3.9,2.322,94,14.00132,80.04,10,3.7
Armenia,,2014,104th,71.3,Middle,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5,1.634,93,47.04655,77.292,9.7,1.1
Australia,,2014,169th,26.3,Low,2,1.6,3.9,2.4,3,0.9,1,2.1,2.3,3.4,2.4,1.3,1.833,92,21.08551,84.4,10,2.6
Austria,,2014,167th,28.5,Low,1.4,2.7,4.6,2.2,3.7,1.8,1.6,1.8,2,2.7,2.3,1.7,1.47,98,49.71617,84,10,3.2
Azerbaijan,,2014,76th,77.8,Middle,7,7.9,6.7,4.4,6.2,4.7,8.3,5.3,7.7,5.4,7.6,6.6,1.97,94,26.20565,74.801,7.1,1.6
