Country,Year,Rank,Total discretized,Security Apparatus discretized,Factionalized Elites discretized,Group grievance discretized,Economy discretized,Economic Inequality discretized,human flight discretized,state legitimacy discretized,public services discretized,human rights discretized,demographic pressures discretized,refugees discretized,external intervention,fertility rate discretized,"Immunization, DPT discretized",Imports of goods and services discretized,life expectancy discretized,basic drinking water discretized,seats held by women discretized
Sudan,2014,1st,alert,very high,very low,very low,very high,very low,very low,very low,very high,very high,very low,very low,very low,neutral,very high,very low,neutral,neutral,low
Congo Democratic Republic,2014,2nd,high warning,very high,very low,very low,very high,very low,low,very low,very high,very high,very low,very low,very low,low,high,very low,high,high,very low
South Sudan,2014,3rd,high warning,very high,very low,very low,very high,very low,low,very low,very high,very high,very low,very low,very low,neutral,low,very low,very high,neutral,low
Afghanistan,2014,4th,high warning,very high,very low,very low,very high,low,low,very low,very high,very high,very low,very low,very low,neutral,neutral,low,high,neutral,low
Somalia,2014,5th,high warning,very high,very low,very low,very high,very low,very low,very low,very high,very high,very low,very low,very low,low,low,low,very high,very high,very low
Iraq,2014,6th,high warning,very high,very low,very low,high,very low,very low,very low,high,very high,very low,very low,low,neutral,neutral,very low,neutral,low,low
Pakistan,2014,7th,high warning,very high,very low,very low,high,low,low,very low,high,very high,very low,very low,very low,high,high,very low,neutral,very low,low
Zimbabwe,2014,8th,high warning,very high,very low,very low,very high,very low,very low,very low,very high,very high,very low,very low,low,high,very high,very low,high,neutral,low
Syria,2014,9th,high warning,very high,very low,very low,high,low,low,very low,high,very high,low,very low,very low,high,low,low,low,very low,very low
Yemen,2014,10th,high warning,very high,very low,very low,very high,low,low,very low,very high,very high,very low,very low,very low,neutral,high,very low,neutral,low,very low
North Korea,2014,11th,high warning,very high,very low,low,very high,very low,neutral,very low,very high,very high,low,neutral,very low,high,very high,low,low,very low,very low
Kenya,2014,12th,high warning,very high,very low,very low,high,very low,low,very low,very high,high,very low,very low,very low,neutral,very high,very low,neutral,neutral,very low
Central African Republic,2014,13th,high warning,very high,very low,very low,high,very low,low,very low,very high,very high,very low,very low,very low,neutral,low,very low,very high,neutral,very low
Timor-Leste,2014,14th,high warning,very high,very low,low,very high,low,low,low,very high,neutral,very low,low,very low,neutral,high,neutral,neutral,neutral,low
Chad,2014,15th,high warning,very high,very low,very low,high,very low,very low,very low,very high,very high,very low,very low,very low,low,low,very low,very high,high,very low
Burundi,2014,16th,high warning,high,low,very low,very high,low,low,very low,very high,very high,very low,very low,very low,neutral,very high,very low,high,neutral,low
Guinea,2014,17th,high warning,very high,very low,very low,very high,low,low,very low,very high,very high,very low,very low,low,neutral,low,low,high,neutral,low
Guinea Bissau,2014,18th,high warning,very high,very low,low,very high,very low,very low,very low,very high,high,very low,very low,very low,neutral,very high,very low,very high,neutral,very low
